content;level;topic;
Ich lerne Deutsch.;A1.1;Aussagesatz;
Das ist ein Tisch.;A1.1;Aussagesatz;
Wir wohnen in Berlin.;A1.1;Aussagesatz;
Mein Name ist Schmidt.;A1.1;Aussagesatz;
Die Sonne scheint heute.;A1.1;Aussagesatz;
Er arbeitet als Programmierer.;A1.1;Aussagesatz;
Sie trinkt gerne Kaffee.;A1.1;Aussagesatz;
Das Auto ist neu.;A1.1;Aussagesatz;
Die Kinder spielen im Garten.;A1.1;Aussagesatz;
Ich habe am Montag einen Termin.;A1.1;Aussagesatz;
Wir gehen heute Abend essen.;A1.1;Aussagesatz;
Der Supermarkt schliesst um 20 Uhr.;A1.1;Aussagesatz;
Wie heissen Sie?;A1.1;W-Fragesatz;
Woher kommen Sie?;A1.1;W-Fragesatz;
Was sprechen Sie?;A1.1;W-Fragesatz;
Wo wohnen Sie?;A1.1;W-Fragesatz;
Was sind Sie von Beruf?;A1.1;W-Fragesatz;
Wer ist das?;A1.1;W-Fragesatz;
Wann beginnt der Deutschkurs?;A1.1;W-Fragesatz;
Warum lernen Sie Deutsch?;A1.1;W-Fragesatz;
Wie alt bist du?;A1.1;W-Fragesatz;
Was kostet das?;A1.1;W-Fragesatz;
Was machen Sie am Wochenende?;A1.1;W-Fragesatz;
Wie ist Ihre Adresse?;A1.1;W-Fragesatz;
Ich heisse Martin.;A1.1;Personalpronomen: ich, du, Sie;
Ich lerne seit zwei Monaten Deutsch.;A1.1;Personalpronomen: ich, du, Sie;
Ich komme aus Österreich.;A1.1;Personalpronomen: ich, du, Sie;
Ich habe eine Frage.;A1.1;Personalpronomen: ich, du, Sie;
Wie heisst du?;A1.1;Personalpronomen: ich, du, Sie;
Wo wohnst du?;A1.1;Personalpronomen: ich, du, Sie;
Bist du müde?;A1.1;Personalpronomen: ich, du, Sie;
Hast du Geschwister?;A1.1;Personalpronomen: ich, du, Sie;
Wie heissen Sie?;A1.1;Personalpronomen: ich, du, Sie;
Woher kommen Sie?;A1.1;Personalpronomen: ich, du, Sie;
Sprechen Sie Englisch?;A1.1;Personalpronomen: ich, du, Sie;
Haben Sie heute Zeit?;A1.1;Personalpronomen: ich, du, Sie;
Ich heisse Schmidt.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Ich komme aus der Schweiz.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Ich spreche Russisch und Englisch.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Ich bin 30 Jahre alt.;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
Wie heisst du?;A1.1;Verbkonjugation: heissen, kommen, sprechen, sein;
